CMAPUID,DGUID
10001,2021S0503001
10010,2021S0504010
10011,2021S0504011
10015,2021S0504015
11105,2021S0504105
11110,2021S0504110
12205,2021S0503205
12210,2021S0504210
12215,2021S0504215
12220,2021S0504220
12225,2021S0504225
13305,2021S0503305
13310,2021S0503310
13320,2021S0503320
13328,2021S0504328
13329,2021S0504329
13330,2021S0504330
24330,2021S0504330
13335,2021S0504335
24403,2021S0504403
24404,2021S0504404
24405,2021S0504405
24406,2021S0504406
24408,2021S0503408
24410,2021S0504410
24411,2021S0504411
24412,2021S0504412
24421,2021S0503421
24423,2021S0504423
24428,2021S0504428
24430,2021S0504430
24433,2021S0503433
24437,2021S0504437
24440,2021S0504440
24442,2021S0503442
24444,2021S0504444
24447,2021S0503447
24450,2021S0504450
24452,2021S0504452
24454,2021S0504454
24456,2021S0504456
24462,2021S0503462
24465,2021S0504465
24467,2021S0504467
24468,2021S0504468
24480,2021S0504480
24481,2021S0504481
24485,2021S0504485
35501,2021S0504501
24502,2021S0504502
35502,2021S0504502
24505,2021S0503505
35505,2021S0503505
35512,2021S0504512
35515,2021S0504515
35516,2021S0504516
35521,2021S0503521
35522,2021S0503522
35527,2021S0504527
35528,2021S0504528
35529,2021S0503529
35530,2021S0504530
35531,2021S0504531
35532,2021S0503532
35533,2021S0504533
35535,2021S0503535
35537,2021S0503537
35539,2021S0503539
35541,2021S0503541
35543,2021S0503543
35544,2021S0504544
35546,2021S0504546
35547,2021S0504547
35550,2021S0503550
35553,2021S0504553
35555,2021S0503555
35556,2021S0504556
35559,2021S0503559
35562,2021S0504562
35563,2021S0504563
35565,2021S0504565
35566,2021S0504566
35567,2021S0504567
35568,2021S0503568
35569,2021S0504569
35571,2021S0504571
35575,2021S0504575
35580,2021S0503580
35582,2021S0504582
35586,2021S0504586
35590,2021S0504590
35595,2021S0503595
35598,2021S0504598
46602,2021S0503602
46603,2021S0504603
46605,2021S0504605
46607,2021S0504607
46610,2021S0504610
46640,2021S0504640
47705,2021S0503705
47710,2021S0504710
47715,2021S0504715
47720,2021S0504720
47725,2021S0503725
47735,2021S0504735
47745,2021S0504745
47750,2021S0504750
47755,2021S0504755
48805,2021S0504805
48806,2021S0504806
48810,2021S0503810
48820,2021S0504820
48821,2021S0504821
48825,2021S0503825
48826,2021S0504826
48828,2021S0504828
48830,2021S0503830
48831,2021S0504831
48832,2021S0504832
48833,2021S0504833
48835,2021S0503835
47840,2021S0504840
48840,2021S0504840
48850,2021S0504850
48860,2021S0504860
48865,2021S0504865
59905,2021S0504905
59907,2021S0504907
59910,2021S0504910
59913,2021S0504913
59915,2021S0503915
59918,2021S0504918
59920,2021S0504920
59925,2021S0503925
59930,2021S0503930
59932,2021S0503932
59933,2021S0503933
59934,2021S0504934
59935,2021S0503935
59936,2021S0504936
59937,2021S0504937
59938,2021S0503938
59939,2021S0504939
59940,2021S0504940
59943,2021S0504943
59944,2021S0504944
59945,2021S0504945
59950,2021S0504950
59952,2021S0504952
59955,2021S0504955
59965,2021S0504965
59970,2021S0504970
59975,2021S0504975
59977,2021S0504977
60990,2021S0504990
61995,2021S0504995
