CSDUID,DGUID
1001101,2021A00051001101
1001105,2021A00051001105
1001113,2021A00051001113
1001120,2021A00051001120
1001124,2021A00051001124
1001126,2021A00051001126
1001131,2021A00051001131
1001136,2021A00051001136
1001140,2021A00051001140
1001144,2021A00051001144
1001149,2021A00051001149
1001155,2021A00051001155
1001169,2021A00051001169
1001174,2021A00051001174
1001178,2021A00051001178
1001181,2021A00051001181
1001186,2021A00051001186
1001192,2021A00051001192
1001197,2021A00051001197
1001203,2021A00051001203
1001207,2021A00051001207
1001214,2021A00051001214
1001219,2021A00051001219
1001225,2021A00051001225
1001228,2021A00051001228
1001234,2021A00051001234
1001240,2021A00051001240
1001254,2021A00051001254
1001259,2021A00051001259
1001263,2021A00051001263
1001267,2021A00051001267
1001270,2021A00051001270
1001274,2021A00051001274
1001277,2021A00051001277
1001281,2021A00051001281
1001285,2021A00051001285
1001289,2021A00051001289
1001293,2021A00051001293
1001298,2021A00051001298
1001304,2021A00051001304
1001308,2021A00051001308
1001312,2021A00051001312
1001316,2021A00051001316
1001321,2021A00051001321
1001325,2021A00051001325
1001328,2021A00051001328
1001332,2021A00051001332
1001335,2021A00051001335
1001339,2021A00051001339
1001343,2021A00051001343
1001347,2021A00051001347
1001352,2021A00051001352
1001357,2021A00051001357
1001361,2021A00051001361
1001365,2021A00051001365
1001370,2021A00051001370
1001374,2021A00051001374
1001375,2021A00051001375
1001379,2021A00051001379
1001385,2021A00051001385
1001391,2021A00051001391
1001394,2021A00051001394
1001396,2021A00051001396
1001405,2021A00051001405
1001409,2021A00051001409
1001415,2021A00051001415
1001421,2021A00051001421
1001426,2021A00051001426
1001429,2021A00051001429
1001434,2021A00051001434
1001437,2021A00051001437
1001441,2021A00051001441
1001446,2021A00051001446
1001452,2021A00051001452
1001456,2021A00051001456
1001461,2021A00051001461
1001464,2021A00051001464
1001469,2021A00051001469
1001472,2021A00051001472
1001485,2021A00051001485
1001490,2021A00051001490
1001494,2021A00051001494
1001504,2021A00051001504
1001505,2021A00051001505
1001507,2021A00051001507
1001509,2021A00051001509
1001511,2021A00051001511
1001512,2021A00051001512
1001517,2021A00051001517
1001519,2021A00051001519
1001542,2021A00051001542
1001551,2021A00051001551
1001557,2021A00051001557
1001559,2021A00051001559
1001565,2021A00051001565
1002001,2021A00051002001
1002002,2021A00051002002
1002005,2021A00051002005
1002006,2021A00051002006
1002008,2021A00051002008
1002009,2021A00051002009
1002011,2021A00051002011
1002012,2021A00051002012
1002013,2021A00051002013
1002014,2021A00051002014
1002015,2021A00051002015
1002016,2021A00051002016
1002017,2021A00051002017
1002018,2021A00051002018
1002019,2021A00051002019
1002021,2021A00051002021
1002022,2021A00051002022
1002023,2021A00051002023
1002024,2021A00051002024
1002025,2021A00051002025
1002026,2021A00051002026
1002027,2021A00051002027
1002029,2021A00051002029
1002030,2021A00051002030
1002031,2021A00051002031
1002033,2021A00051002033
1002034,2021A00051002034
1002036,2021A00051002036
1002037,2021A00051002037
1002039,2021A00051002039
